# x      a       y       b      A      B
49.62949 0.0493 4.9858 -0.00216 0.0000    18.7994   
49.62949 0.0493 8.54243 -0.00535 0.0000    37.5988   
49.62949 0.06946 -5.67429 0.00709 7.0697    -37.5988   
49.62949 0.06946 -2.0837 0.00395 7.0697    -18.7994   
49.62949 0.06946 1.64729 0.00122 7.0697    0.0000   
49.62949 0.06946 5.96548 -0.00179 7.0697    18.7994   
49.62949 0.06946 9.04508 -0.00479 7.0697    37.5988   
49.62949 0.08891 -4.37631 0.00704 14.1106   -18.7994   
49.62949 0.08891 2.49575 0.00117 14.1106   0.0000   
49.62949 0.08891 5.85515 -0.00158 14.1106   18.7994   
217.20503 0.02034 -6.54011 0.00905 -14.1106  -37.5988    
217.20503 0.02034 -3.91351 0.0043 -14.1106  -18.7994
217.20503 0.02034 0.51119 0.0003 -14.1106  0.0000
217.20503 0.02034 5.09013 -0.00394 -14.1106  18.7994   
217.20503 0.02034 8.24959 -0.00826 -14.1106  37.5988   
217.20503 0.03907 -2.45457 0.00437 -7.0697   -18.7994   
217.20503 0.03907 0.91618 0.00038 -7.0697   0.0000   
217.20503 0.03907 4.19335 -0.00336 -7.0697   18.7994   
217.20503 0.03907 6.96676 -0.00713 -7.0697   37.5988   
217.20503 0.05967 -4.12003 0.00758 0.0000    -37.5988   
217.20503 0.05967 -1.55977 0.00414 0.0000    -18.7994   
217.20503 0.05967 1.50133 0.00044 0.0000    0.0000   
217.20503 0.05967 4.82628 -0.00298 0.0000    18.7994   
217.20503 0.05967 7.3651 -0.00638 0.0000    37.5988   
217.20503 0.07998 -3.19106 0.00733 7.0697    -37.5988   
217.20503 0.07998 -0.79514 0.00392 7.0697    -18.7994   
217.20503 0.07998 2.30058 0.00061 7.0697    0.0000   
217.20503 0.07998 5.32846 -0.00284 7.0697    18.7994   
217.20503 0.07998 8.06096 -0.00601 7.0697    37.5988   
217.20503 0.0988 -1.48702 0.007 14.1106   -18.7994   
217.20503 0.0988 3.14 0.00065 14.1106   0.0000   
217.20503 0.0988 5.25 -0.00233 14.1106   18.7994
