# x      a       y       b                     A      B
-471.6467 0.01928 2.25189 0.00191         0.0000    0.0000
-471.6467 0.01928 -0.14810999999999996 0.00191         0.0000    0.0000
-471.6467 0.01928 1.05189 0.00441     0.0000    0.0000
-471.6467 0.01928 1.05189 -0.00059     0.0000    0.0000
-471.6467 0.01928 7.6534 -0.00037         0.0000    18.7994
-471.6467 0.02328 7.6534 -0.00037         0.0000    18.7994
-471.6467 0.015279999999999998 7.6534 -0.00037         0.0000    18.7994
-471.6467 0.01928 8.8534 -0.00037         0.0000    18.7994
-471.6467 0.01928 6.4534 -0.00037         0.0000    18.7994
-471.6467 0.01928 7.6534 0.00213     0.0000    18.7994
-471.6467 0.01928 7.6534 -0.00287     0.0000    18.7994
-471.6467 0.01928 13.36699 -0.00251         0.0000    37.5988
-471.6467 0.02328 13.36699 -0.00251         0.0000    37.5988
-471.6467 0.015279999999999998 13.36699 -0.00251         0.0000    37.5988
-471.6467 0.01928 14.566989999999999 -0.00251         0.0000    37.5988
-471.6467 0.01928 12.16699 -0.00251         0.0000    37.5988
-471.6467 0.01928 13.36699 -1.0000000000000026e-05     0.0000    37.5988
-471.6467 0.01928 13.36699 -0.0050100000000000006     0.0000    37.5988
-471.6467 0.03978 -11.623 0.00558         7.0697    -37.5988
-471.6467 0.04378 -11.623 0.00558         7.0697    -37.5988
-471.6467 0.035780000000000006 -11.623 0.00558         7.0697    -37.5988
-471.6467 0.03978 -10.423 0.00558         7.0697    -37.5988
-471.6467 0.03978 -12.822999999999999 0.00558         7.0697    -37.5988
-471.6467 0.03978 -11.623 0.00808     7.0697    -37.5988
-471.6467 0.03978 -11.623 0.00308     7.0697    -37.5988
-471.6467 0.03978 -4.94648 0.00367         7.0697    -18.7994
-471.6467 0.04378 -4.94648 0.00367         7.0697    -18.7994
-471.6467 0.035780000000000006 -4.94648 0.00367         7.0697    -18.7994
-471.6467 0.03978 -3.74648 0.00367         7.0697    -18.7994
-471.6467 0.03978 -6.14648 0.00367         7.0697    -18.7994
-471.6467 0.03978 -4.94648 0.00617     7.0697    -18.7994
-471.6467 0.03978 -4.94648 0.00117     7.0697    -18.7994
-471.6467 0.03978 1.80699 0.0018         7.0697    0.0000
